variant,display,protocol,LV,LV_std,MYO,MYO_std,MI_path,MI_path_std,MI,MI_std,MVO,MVO_std,params_M,inference_ms
M1,Baseline 3D U-Net,5-fold-cv,0.9111466629410744,0.009688086452159088,0.7389223130970999,0.026729757148015853,0.44009926895826157,0.05876286481928128,0.5657856948405128,0.06390323645517419,0.38291508674042235,0.16336470154698687,46.579769,101.79976330663924
M2,AFDD-Net-F,5-fold-cv,0.9079917395157139,0.009324845074079801,0.7287502804268364,0.010905559902783692,0.40975664034721193,0.041489313111200785,0.4941915549904448,0.01712119040448624,0.3551127819548872,0.2136766836599573,11.521529,75.77475364345656
M3,AFDD-Net-D,5-fold-cv,0.9049065245029873,0.007164390702680322,0.7614904407133745,0.022246142637278834,0.42315591836404093,0.03269826371378149,0.43276302469887035,0.02800570276794201,0.36727329275931586,0.05715459993957753,16.058893,102.82946163550355
M4,AFDD-Net-T,5-fold-cv,0.9055617441153562,0.009718335176089714,0.7592516148539585,0.022595981204602357,0.43287004241061633,0.03149551059192163,0.40982240663228453,0.05398983443667243,0.3086670890439674,0.03817774414413613,16.058893,103.72574838480554
M5,AFDD-Net,5-fold-cv,0.9115176186387026,0.007798275581512107,0.7759910037194185,0.01755014404114364,0.40088073224076276,0.035345225853085284,0.5101615691233626,0.07480169027260719,0.4255215328520219,0.09468495897259502,16.09179,102.16753032273218
UNET,UNet,5-fold-cv,0.8796828476288944,0.024997902773317444,0.6654154295164049,0.02009134952188327,0.2721649521138454,0.037172838454474715,0.36422762932436237,0.10120947079473547,0.5596240601503759,0.056864925601771005,19.222686,57.534656411125546
SEGRESNET,SegResNet,5-fold-cv,0.9026462904704285,0.009127148074270244,0.699952710502106,0.016164632962877946,0.2979302519509611,0.1725911179585986,0.47813884727436695,0.08432755285678802,0.6012030075187971,0.030082705827302558,4.700965,71.88029556943658
SWINUNETR,SwinUNETR,5-fold-cv,0.8114369059462005,0.041551508845985866,0.6804300376032246,0.017944052696571053,0.2971561346792975,0.04964313930882511,0.24909819350265336,0.050642122419641986,0.4763155299410517,0.10163104460163404,15.703078999999999,190.51336826238418
DYNUNET,DynUNet,5-fold-cv,0.897286099944893,0.014712023104940254,0.6885350218000029,0.037463797889481835,0.3764300783006546,0.05956048734347735,0.3924736018888885,0.0639267528250562,0.5277615154390831,0.09300578524236511,22.572037,74.35930030387745
