variant,display,protocol,LV,LV_std,MYO,MYO_std,MI_path,MI_path_std,MI,MI_std,MVO,MVO_std,params_M,inference_ms
M1,Baseline 3D U-Net,5-fold-cv,0.9090799661628554,0.012051116291707511,0.748896341637121,0.018283108553489896,0.45056259687255895,0.04152908612408699,0.5523170961983123,0.07032575369560554,0.4888647463555559,0.1225916536106969,46.579769,42.93882460821243
M2,AFDD-Net-F,5-fold-cv,0.904127248159537,0.009325711917472322,0.7402222708924515,0.01747325688074754,0.43009596956812174,0.03940149735733736,0.4975519184550309,0.05327361352210589,0.5112454378231376,0.08584040270460165,11.521529,23.834880252828576
M3,AFDD-Net-D,5-fold-cv,0.8998335098916538,0.009303391256653516,0.7621858387381876,0.025018023805968785,0.39446886591355196,0.029585175732450446,0.42338700391726664,0.0535770530582036,0.355719879962313,0.15939166819479014,16.058893,40.6278611723343
M4,AFDD-Net-T,5-fold-cv,0.898453955289364,0.01014123123397207,0.7635326541856181,0.015221371237875965,0.4131549016026481,0.014809323440966297,0.4183536480325201,0.0610303317149791,0.3848032122105624,0.07456631936778477,16.058893,40.57505056672825
M5,AFDD-Net,5-fold-cv,0.9060161311548086,0.015470098078752291,0.771256339516037,0.03164582785583903,0.4184561639681682,0.05097506233321576,0.42304140943310403,0.09820345034133393,0.3492797586679128,0.16430028248167677,16.09179,40.54562129472431
