variant,display,protocol,LV,LV_std,MYO,MYO_std,MI_path,MI_path_std,MI,MI_std,MVO,MVO_std,params_M,inference_ms
UNET,UNet,5-fold-cv,0.8987969862486835,0.0046892346070068905,0.6989501387748115,0.005174151677854694,0.3334831252913652,0.06303941470609668,0.47218345263911593,0.050754578538278736,0.5072145012964462,0.10339297559211917,19.222686,13.28345181051651
SEGRESNET,SegResNet,5-fold-cv,0.9043007582593457,0.014907496493313454,0.680363259799627,0.04208659896434535,0.25114627654651006,0.16078001084086047,0.4781781589632567,0.10578464362371683,0.5196816100821718,0.16716141219645297,4.700965,21.34045164089155
SWINUNETR,SwinUNETR,5-fold-cv,0.8951910969422107,0.0054702059272462656,0.7176098080434938,0.016870066178835807,0.417958315349176,0.03926977069700256,0.39786785628973814,0.0500776346523383,0.47568940478715777,0.1336189093527808,15.703078999999999,82.67044772480365
SWINUNETR_V2,SwinUNETR-V2,5-fold-cv,0.8996439751258765,0.014209329536098207,0.7167983553614289,0.03751936304358326,0.3809024354614102,0.0833780150678966,0.47909945434126416,0.16327401026600316,0.22826258168949348,0.31549533613041797,18.346919,83.23800042159576
DYNUNET,DynUNet,5-fold-cv,0.8954629841573599,0.009004579944631221,0.6643050684571953,0.030330226527358294,0.34973627384670747,0.044045993221882525,0.4049443667850035,0.10799509156417407,0.569624060150376,0.05910176190212567,22.572037,20.780756306229975
DYNUNET_RES,DynUNet-Res,5-fold-cv,0.9011282738285302,0.0,0.651628116059575,0.0,0.35214374753210126,0.0,0.377619641211877,0.0,0.5714285714285714,0.0,16.663589,21.663665771484375
MEDNEXT,MedNeXt-S,5-fold-cv,0.8864817288825092,0.014705662416918753,0.6779897897868572,0.010191787894127596,0.3705621976552192,0.04456657653909053,0.3379409226919022,0.09610783149786903,0.32276777481589314,0.10796056385672656,5.551014,33.62583003247292
UXNET3D,3D UX-Net,5-fold-cv,0.9083553355072704,0.007184584161419979,0.7423916610436525,0.01776954910479866,0.4625396137078689,0.049671514487247444,0.5203303515406067,0.04526567862899511,0.35085892046342704,0.06997122221558069,53.006069000000004,72.43881631315801
UMAMBA_ENC,U-Mamba Enc,5-fold-cv,,,,,,,,,,,,
SEGMAMBA,SegMamba,5-fold-cv,,,,,,,,,,,,
NNUNET,nnU-Net,5-fold-cv,,,,,,,,,,,,
